period,pair,d_ic,d_spread,n
2018-09-30,cab_norm vs ti_like (raw),-0.047846515275940145,-0.04599296181985992,1576
2018-09-30,cab_sum vs votes_sum (raw),-0.02716045636322123,-0.02410113741808869,1576
2018-09-30,signed_frag vs pressure (raw),-0.0001998977885353452,-0.007050228230295517,1571
2018-09-30,cont_score vs new_conv (resid),0.004708716666712575,-0.008487834544555366,1571
2018-12-31,cab_norm vs ti_like (raw),0.06142120533662068,0.04469650233912326,1614
2018-12-31,cab_sum vs votes_sum (raw),0.0410019638742425,-0.005272246246856353,1614
2018-12-31,signed_frag vs pressure (raw),-0.0011154016954856181,0.010578368557427345,1611
2018-12-31,cont_score vs new_conv (resid),-0.03290534622541173,-0.040615066944604684,1611
2019-03-31,cab_norm vs ti_like (raw),0.011537461229898346,-0.00041185176150863867,1641
2019-03-31,cab_sum vs votes_sum (raw),0.054677873580168616,0.033641892182011655,1641
2019-03-31,signed_frag vs pressure (raw),-0.009061232628857906,0.0066547396523067605,1636
2019-03-31,cont_score vs new_conv (resid),-0.051598163786542875,-0.017734650564385307,1636
2019-06-30,cab_norm vs ti_like (raw),0.04860376347581517,0.04541800755684395,1687
2019-06-30,cab_sum vs votes_sum (raw),0.06829198698060174,0.024356735619255887,1687
2019-06-30,signed_frag vs pressure (raw),0.011735742413338683,0.005395478161308406,1685
2019-06-30,cont_score vs new_conv (resid),-0.02297220159901426,-0.03881914012113418,1685
2019-09-30,cab_norm vs ti_like (raw),-0.09933956691713317,-0.06783585193977297,1723
2019-09-30,cab_sum vs votes_sum (raw),-0.1154089273595239,-0.10387902409867177,1723
2019-09-30,signed_frag vs pressure (raw),0.009526158963078936,-0.015103776273811556,1721
2019-09-30,cont_score vs new_conv (resid),-0.06827143178723191,-0.04028324414002364,1721
2019-12-31,cab_norm vs ti_like (raw),-0.11732694043517461,-0.07542232777782257,1754
2019-12-31,cab_sum vs votes_sum (raw),-0.17856667289817835,-0.18965997674411122,1754
2019-12-31,signed_frag vs pressure (raw),-0.021346576899300262,-0.030883058642234715,1750
2019-12-31,cont_score vs new_conv (resid),-0.09813128801954596,-0.07229680776354952,1750
2020-03-31,cab_norm vs ti_like (raw),0.0881073727874821,0.13381717540263105,1759
2020-03-31,cab_sum vs votes_sum (raw),0.04496057772664172,0.018937943293260456,1759
2020-03-31,signed_frag vs pressure (raw),0.02554822456005562,0.007505578174083372,1755
2020-03-31,cont_score vs new_conv (resid),0.046733328817884,-0.06601742693031165,1755
2020-06-30,cab_norm vs ti_like (raw),-0.024491227562938925,-0.019386950967430566,1810
2020-06-30,cab_sum vs votes_sum (raw),0.025782986667144007,-0.0062076382550985965,1810
2020-06-30,signed_frag vs pressure (raw),-0.01841371535289076,-0.005773769699956785,1809
2020-06-30,cont_score vs new_conv (resid),0.040197876310521886,0.011287986232385569,1809
2020-09-30,cab_norm vs ti_like (raw),0.14391553063103169,0.09868683358998331,1863
2020-09-30,cab_sum vs votes_sum (raw),-0.35297318180928877,-0.4894268479194177,1863
2020-09-30,signed_frag vs pressure (raw),0.06073403834743708,0.019891365731027094,1860
2020-09-30,cont_score vs new_conv (resid),0.02553416199112167,-0.1936464259770453,1860
2020-12-31,cab_norm vs ti_like (raw),0.08077560707357943,0.03890207429818848,1941
2020-12-31,cab_sum vs votes_sum (raw),0.2647956361545169,0.19659918888204952,1941
